año,mes,tipo de cambio 
1992,setiembre,9.911
1992,octubre,9.911
1992,noviembre,9.928
1992,diciembre,9.916
1993,enero,9.991
1993,febrero,9.991
1993,marzo,9.997
1993,abril,9.978
1993,mayo,10.001
1993,junio,9.983
1993,julio,9.996
1993,agosto,10.013
1993,setiembre,10.013
1993,octubre,9.991
1993,noviembre,9.975
1993,diciembre,9.984
1994,enero,9.984
1994,febrero,10.015
1994,marzo,10.011
1994,abril,9.986
1994,mayo,9.985
1994,junio,9.974
1994,julio,9.984
1994,agosto,9.991
1994,setiembre,9.993
1994,octubre,999
1994,noviembre,9.999
1994,diciembre,10.014
1995,enero,10.006
1995,febrero,10.017
1995,marzo,10.009
1995,abril,10.011
1995,mayo,9.986
1995,junio,9.989
1995,julio,9.994
1995,agosto,9.984
1995,setiembre,9.989
1995,octubre,10.003
1995,noviembre,9.992
1995,diciembre,10.016
1996,enero,9.992
1996,febrero,9.998
1996,marzo,9.997
1996,abril,9.995
1996,mayo,1
1996,junio,10.006
1996,julio,10.012
1996,agosto,10.001
1996,setiembre,10.002
1996,octubre,9.995
1996,noviembre,9.989
1996,diciembre,10.005
1997,enero,9.985
1997,febrero,9.993
1997,marzo,9.994
1997,abril,9.995
1997,mayo,9.993
1997,junio,10.005
1997,julio,9.998
1997,agosto,9.996
1997,setiembre,9.995
1997,octubre,10.022
1997,noviembre,10.007
1997,diciembre,10.014
1998,enero,9.988
1998,febrero,9.989
1998,marzo,10.007
1998,abril,10.001
1998,mayo,9.997
1998,junio,9.997
1998,julio,10.002
1998,agosto,10.019
1998,setiembre,10.001
1998,octubre,10.035
1998,noviembre,9.999
1998,diciembre,1.001
1999,enero,10.003
1999,febrero,9.999
1999,marzo,9.987
1999,abril,9.994
1999,mayo,10.014
1999,junio,10.049
1999,julio,9.997
1999,agosto,10.004
1999,setiembre,999
1999,octubre,1
1999,noviembre,1.007
1999,diciembre,10.014
2000,enero,9.996
2000,febrero,9.987
2000,marzo,9.991
2000,abril,9.987
2000,mayo,10.009
2000,junio,9.984
2000,julio,999
2000,agosto,9.986
2000,setiembre,9.989
2000,octubre,9.999
2000,noviembre,10.004
2000,diciembre,10.014
2001,enero,9.992
2001,febrero,9.996
2001,marzo,10.009
2001,abril,10.001
2001,mayo,9.994
2001,junio,1.001
2001,julio,1.029
2001,agosto,9.974
2001,setiembre,9.989
2001,octubre,10.029
2001,noviembre,10.038
2001,diciembre,10.099
2002,enero,1.4
2002,febrero,2.15
2002,marzo,2.95
2002,abril,2.975
2002,mayo,3.6
2002,junio,3.85
2002,julio,3.69
2002,agosto,3.61
2002,setiembre,3.74
2002,octubre,3.515
2002,noviembre,3.62
2002,diciembre,3.405
2003,enero,3.265
2003,febrero,3.168
2003,marzo,3.075
2003,abril,2.905
2003,mayo,2.832
2003,junio,2.815
2003,julio,2.793
2003,agosto,2.928
2003,setiembre,2.922
2003,octubre,2.86
2003,noviembre,2.88
2003,diciembre,2.963
2004,enero,2.898
2004,febrero,2.934
2004,marzo,2.9
2004,abril,2.834
2004,mayo,2.92
2004,junio,2.961
2004,julio,2.955
2004,agosto,3.015
2004,setiembre,2.998
2004,octubre,2.97
2004,noviembre,2.954
2004,diciembre,2.972
2005,enero,2.947
2005,febrero,2.916
2005,marzo,2.925
2005,abril,2.901
2005,mayo,2.892
2005,junio,2.883
2005,julio,2.869
2005,agosto,2.889
2005,setiembre,2.912
2005,octubre,2.965
2005,noviembre,2.967
2005,diciembre,3.014
2006,enero,3.045
2006,febrero,3.069
2006,marzo,3.076
2006,abril,3.067
2006,mayo,3.053
2006,junio,3.081
2006,julio,3.082
2006,agosto,3.078
2006,setiembre,3.1
2006,octubre,3.099
2006,noviembre,3.076
2006,diciembre,3.06
2007,enero,3.085
2007,febrero,3.103
2007,marzo,3.101
2007,abril,3.091
2007,mayo,3.081
2007,junio,3.079
2007,julio,3.11
2007,agosto,3.153
2007,setiembre,3.148
2007,octubre,3.161
2007,noviembre,3.135
2007,diciembre,3.141
2008,enero,3.144
2008,febrero,3.158
2008,marzo,3.155
2008,abril,3.167
2008,mayo,3.152
2008,junio,3.044
2008,julio,3.022
2008,agosto,3.034
2008,setiembre,3.083
2008,octubre,3.235
2008,noviembre,3.332
